"","gene","Neuron.Slc17a7.Calb2_Vgll3"
"1","ENSG00000197584",0.994576322079836
"2","ENSG00000196091",0.992815339489034
"3","ENSG00000206538",0.991803720970388
"4","ENSG00000102468",0.988559607735644
"5","ENSG00000095596",0.988145729841677
"6","ENSG00000112276",0.977725217834143
"7","ENSG00000177551",0.977378569891454
"8","ENSG00000171804",0.976369276550818
"9","ENSG00000128655",0.97336737087557
"10","ENSG00000100473",0.971861493529331
"11","ENSG00000174885",0.969009942540043
"12","ENSG00000135318",0.968200129906619
"13","ENSG00000185313",0.967260073177735
"14","ENSG00000053328",0.959762721726882
"15","ENSG00000138316",0.959024806843383
"16","ENSG00000113739",0.957867029728121
"17","ENSG00000064655",0.954128018355589
"18","ENSG00000176769",0.95211619713845
"19","ENSG00000132429",0.950138433788
"20","ENSG00000139211",0.948190033204088
"21","ENSG00000172137",0.940296629465639
"22","ENSG00000015413",0.938699405082047
"23","ENSG00000186912",0.937490910874607
"24","ENSG00000121743",0.926827377571112
"25","ENSG00000221963",0.923129089423889
"26","ENSG00000204653",0.918427474831199
"27","ENSG00000184389",0.908730308563408
"28","ENSG00000107807",0.902280837335885
"29","ENSG00000026508",0.900197217715957
"30","ENSG00000157570",0.89867182965391
"31","ENSG00000269855",0.898462428642213
"32","ENSG00000180801",0.897145712793406
"33","ENSG00000196407",0.896587751975431
"34","ENSG00000188779",0.893816594812144
"35","ENSG00000181408",0.888856554050394
"36","ENSG00000171126",0.885271202362442
"37","ENSG00000180730",0.885132320374766
"38","ENSG00000122787",0.884602028113389
"39","ENSG00000180251",0.878913412615685
"40","ENSG00000081479",0.877791036449387
"41","ENSG00000114374",0.874837997431111
"42","ENSG00000112218",0.870778920679366
"43","ENSG00000130368",0.869499748189137
"44","ENSG00000151882",0.867362714695228
"45","ENSG00000164270",0.866962332085897
"46","ENSG00000177791",0.865004210650147
"47","ENSG00000105492",0.849499904717754
"48","ENSG00000127951",0.848632000552825
"49","ENSG00000160293",0.846739967713849
"50","ENSG00000121900",0.843532446076953
"51","ENSG00000141433",0.838505967865888
"52","ENSG00000188778",0.836876934197735
"53","ENSG00000159248",0.832803890452052
"54","ENSG00000168505",0.83248092732164
"55","ENSG00000083782",0.826781081805678
"56","ENSG00000174332",0.826327800259049
"57","ENSG00000075673",0.826150227491291
"58","ENSG00000177595",0.82232499873048
"59","ENSG00000182050",0.820609658185789
"60","ENSG00000185942",0.819552895873463
"61","ENSG00000113389",0.818303038372141
"62","ENSG00000115085",0.817305235930792
"63","ENSG00000179008",0.815667216276258
"64","ENSG00000007174",0.814293011804138
"65","ENSG00000180999",0.808473757855932
"66","ENSG00000260234",0.806437156732893
"67","ENSG00000145506",0.800653384121409
"68","ENSG00000160326",0.800046603665718
"69","ENSG00000173093",0.799033485081154
"70","ENSG00000121446",0.797831587978578
"71","ENSG00000134571",0.796811611408121
"72","ENSG00000164125",0.79441046924064
"73","ENSG00000182218",0.79198481866554
"74","ENSG00000101463",0.791441840305743
"75","ENSG00000148680",0.786480732510248
"76","ENSG00000183578",0.78503942625224
"77","ENSG00000095627",0.782970839143245
"78","ENSG00000118495",0.777678624785676
"79","ENSG00000140848",0.776697766718849
"80","ENSG00000136546",0.776078328224615
"81","ENSG00000137709",0.773082816409708
"82","ENSG00000183873",0.766936959889056
"83","ENSG00000100346",0.763434152020472
"84","ENSG00000226742",0.763238482906438
"85","ENSG00000152784",0.758405855225954
"86","ENSG00000134376",0.752615273164582
"87","ENSG00000113555",0.75140858768172
"88","ENSG00000173988",0.747542126067542
"89","ENSG00000179331",0.745960401353936
"90","ENSG00000162873",0.744881252567479
"91","ENSG00000129167",0.743888125508528
"92","ENSG00000196557",0.743232366156353
"93","ENSG00000164142",0.742026087162536
"94","ENSG00000124782",0.74046114680631
"95","ENSG00000180914",0.73954014197631
"96","ENSG00000147234",0.739078986979549
"97","ENSG00000136383",0.733764747892764
"98","ENSG00000149124",0.731744820404343
"99","ENSG00000137558",0.731193123006194
"100","ENSG00000095539",0.728855238421296
"101","ENSG00000138119",0.728786745775502
"102","ENSG00000069018",0.725431923429112
"103","ENSG00000115232",0.725316714878088
"104","ENSG00000060566",0.723597696972609
"105","ENSG00000171385",0.722876398845595
"106","ENSG00000133863",0.718276563497927
"107","ENSG00000145451",0.716247062282434
"108","ENSG00000167173",0.712345571323084
"109","ENSG00000112053",0.711964286873516
"110","ENSG00000007350",0.711065491057878
"111","ENSG00000244067",0.710924020736038
"112","ENSG00000178342",0.706961975042907
"113","ENSG00000164794",0.703896097395746
"114","ENSG00000155858",0.700663535730296
"115","ENSG00000150594",0.700365126510008
"116","ENSG00000158748",0.699751579073434
"117","ENSG00000204385",0.699139612848913
"118","ENSG00000039600",0.698522812741599
"119","ENSG00000183473",0.693233915516652
"120","ENSG00000051128",0.691923979541103
"121","ENSG00000133019",0.690968342754475
"122","ENSG00000146360",0.689686148139533
"123","ENSG00000215788",0.688956494994209
"124","ENSG00000129675",0.686014472890791
"125","ENSG00000166342",0.681787560149003
"126","ENSG00000080644",0.678927089910341
"127","ENSG00000187720",0.678731660442834
"128","ENSG00000005108",0.678529787820605
"129","ENSG00000178773",0.676454650626002
"130","ENSG00000133107",0.675195359696999
"131","ENSG00000176971",0.67252116382182
"132","ENSG00000113916",0.669618002374503
"133","ENSG00000173517",0.669576861284521
"134","ENSG00000124302",0.669440175551092
"135","ENSG00000128285",0.667759214424124
"136","ENSG00000166220",0.667401870359238
"137","ENSG00000150630",0.667049517160784
"138","ENSG00000187079",0.664853899191566
"139","ENSG00000123119",0.664364581936027
"140","ENSG00000048052",0.66341202946087
"141","ENSG00000185760",0.662999653907946
"142","ENSG00000131730",0.661336397047336
"143","ENSG00000184985",0.659371148402538
"144","ENSG00000125848",0.658084938949896
"145","ENSG00000104059",0.657252712540836
"146","ENSG00000082556",0.656561170777029
"147","ENSG00000175352",0.656011689350879
"148","ENSG00000141068",0.655491326494489
"149","ENSG00000187867",0.654373144142411
"150","ENSG00000118257",0.653506536040502
"151","ENSG00000100625",0.652802324104151
"152","ENSG00000162552",0.651889082001521
"153","ENSG00000158050",0.650410544077094
"154","ENSG00000182324",0.648990414684957
"155","ENSG00000182168",0.648761468072197
"156","ENSG00000087085",0.647022017266805
"157","ENSG00000183729",0.646560181249218
"158","ENSG00000120645",0.64499392359547
"159","ENSG00000143355",0.644256152803236
"160","ENSG00000168843",0.643297455973141
"161","ENSG00000161958",0.642545779615351
"162","ENSG00000121005",0.641928352331843
"163","ENSG00000060718",0.639722100427184
"164","ENSG00000188064",0.638099591059886
"165","ENSG00000165548",0.635794036763233
